experiment,experiment_type,feature_set,holdout_size_P,n_runs,n_folds,median_all_runs,median_best_per_fold,iqr_all_runs,mean_all_runs,sd_all_runs,min_all_runs,max_all_runs
ANOVA_L_2_Random,LPSO_Random_50,ANOVA,2,600,50,0.736862,0.839494,0.228471,0.713533,0.141798,0.168639,0.983368
ANOVA_L_6_Random,LPSO_Random_50,ANOVA,6,600,50,0.681999,0.749422,0.119261,0.67803,0.086071,0.396206,0.897428
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,144,12,0.675594,0.729253,0.113214,0.670082,0.084015,0.444149,0.899937
ANOVA_W_C,Within_Subject,ANOVA,N/A,12,1,0.829675,0.949371,0.076017,0.823481,0.081021,0.689494,0.949371
ANOVA_W_F,Within_Subject,ANOVA,N/A,12,1,0.717296,0.976149,0.435616,0.657753,0.34947,0.035558,0.976149
PCA_L_2_Random,LPSO_Random_50,PCA,2,600,50,0.525391,0.696915,0.098742,0.543304,0.097051,0.255668,0.904368
PCA_L_6_Random,LPSO_Random_50,PCA,6,600,50,0.524591,0.637144,0.078374,0.537945,0.065664,0.344035,0.800396
PCA_L_6_Uniform,LPSO_Systematic_12,PCA,6,144,12,0.534248,0.624045,0.077769,0.536007,0.064978,0.406078,0.738442
PCA_W_C,Within_Subject,PCA,N/A,12,1,0.897425,0.981709,0.312189,0.803751,0.16727,0.554873,0.981709
PCA_W_F,Within_Subject,PCA,N/A,12,1,0.899473,0.981124,0.312774,0.804117,0.167453,0.554873,0.981124
